Name																Description
AreNotEqual(Object, Object, String)									Verifies that two specified objects are not equal. The assertion fails if the objects are equal. Displays a message if the assertion fails.
AreNotEqual(Single, Single, Single)									Verifies that two specified singles are not equal, and not within the specified accuracy of each other. The assertion fails if they are equal or within the specified accuracy of each other.
AreNotEqual(String, String, Boolean)								Verifies that two specified strings are not equal, ignoring case or not as specified. The assertion fails if they are equal.
AreNotEqual(Double, Double, Double, String)							Verifies that two specified doubles are not equal, and not within the specified accuracy of each other. The assertion fails if they are equal or within the specified accuracy of each other. Displays a message if the assertion fails.
AreNotEqual(Object, Object, String, Object[])						Verifies that two specified objects are not equal. The assertion fails if the objects are equal. Displays a message if the assertion fails, and applies the specified formatting to it.
AreNotEqual(Single, Single, Single, String)							Verifies that two specified singles are not equal, and not within the specified accuracy of each other. The assertion fails if they are equal or within the specified accuracy of each other. Displays a message if the assertion fails.
AreNotEqual(String, String, Boolean, CultureInfo)					Verifies that two specified strings are not equal, ignoring case or not as specified, and using the culture info specified. The assertion fails if they are equal.
AreNotEqual(String, String, Boolean, String)						Verifies that two specified strings are not equal, ignoring case or not as specified. The assertion fails if they are equal. Displays a message if the assertion fails.
AreNotEqual(Double, Double, Double, String, Object[])				Verifies that two specified doubles are not equal, and not within the specified accuracy of each other. The assertion fails if they are equal or within the specified accuracy of each other. Displays a message if the assertion fails, and applies the specified formatting to it.
AreNotEqual(Single, Single, Single, String, Object[])				Verifies that two specified singles are not equal, and not within the specified accuracy of each other. The assertion fails if they are equal or within the specified accuracy of each other. Displays a message if the assertion fails, and applies the specified formatting to it.
AreNotEqual(String, String, Boolean, CultureInfo, String)			Verifies that two specified strings are not equal, ignoring case or not as specified, and using the culture info specified. The assertion fails if they are equal. Displays a message if the assertion fails.
AreNotEqual(String, String, Boolean, String, Object[])				Verifies that two specified strings are not equal, ignoring case or not as specified. The assertion fails if they are equal. Displays a message if the assertion fails, and applies the specified formatting to it.
AreNotEqual(String, String, Boolean, CultureInfo, String, Object[])	Verifies that two specified strings are not equal, ignoring case or not as specified, and using the culture info specified. The assertion fails if they are equal. Displays a message if the assertion fails, and applies the specified formatting to it.
AreNotEqual<T>(T, T)												Verifies that two specified generic type data are not equal. The assertion fails if they are equal.
AreNotEqual<T>(T, T, String)										Verifies that two specified generic type data are not equal. The assertion fails if they are equal. Displays a message if the assertion fails.
AreNotEqual<T>(T, T, String, Object[])								Verifies that two specified generic type data are not equal. The assertion fails if they are equal. Displays a message if the assertion fails, and applies the specified formatting to it.
AreNotSame(Object, Object)											Verifies that two specified object variables refer to different objects. The assertion fails if they refer to the same object.
AreNotSame(Object, Object, String)									Verifies that two specified object variables refer to different objects. The assertion fails if they refer to the same object. Displays a message if the assertion fails.
AreNotSame(Object, Object, String, Object[])						Verifies that two specified object variables refer to different objects. The assertion fails if they refer to the same object. Displays a message if the assertion fails, and applies the specified formatting to it.
AreSame(Object, Object)												Verifies that two specified object variables refer to the same object. The assertion fails if they refer to different objects.
AreSame(Object, Object, String)										Verifies that two specified object variables refer to the same object. The assertion fails if they refer to different objects. Displays a message if the assertion fails.
AreSame(Object, Object, String, Object[])							Verifies that two specified object variables refer to the same object. The assertion fails if they refer to different objects. Displays a message if the assertion fails, and applies the specified formatting to it.
Equals																Determines whether two objects are equal.
Fail()																Fails the assertion without checking any conditions.
Fail(String)														Fails the assertion without checking any conditions. Displays a message.
Fail(String, Object[])												Fails the assertion without checking any conditions. Displays a message, and applies the specified formatting to it.
Inconclusive()														Indicates that the assertion cannot be verified.
Inconclusive(String)												Indicates that the assertion can not be verified. Displays a message.
Inconclusive(String, Object[])										Indicates that an assertion can not be verified. Displays a message, and applies the specified formatting to it.
IsFalse(Boolean)													Verifies that the specified condition is false. The assertion fails if the condition is true.
IsFalse(Boolean, String)											Verifies that the specified condition is false. The assertion fails if the condition is true. Displays a message if the assertion fails.
IsFalse(Boolean, String, Object[])									Verifies that the specified condition is false. The assertion fails if the condition is true. Displays a message if the assertion fails, and applies the specified formatting to it.
IsInstanceOfType(Object, Type)										Verifies that the specified object is an instance of the specified type. The assertion fails if the type is not found in the inheritance hierarchy of the object.
IsInstanceOfType(Object, Type, String)								Verifies that the specified object is an instance of the specified type. The assertion fails if the type is not found in the inheritance hierarchy of the object. Displays a message if the assertion fails.
IsInstanceOfType(Object, Type, String, Object[])					Verifies that the specified object is an instance of the specified type. The assertion fails if the type is not found in the inheritance hierarchy of the object. Displays a message if the assertion fails, and applies the specified formatting to it.
IsNotInstanceOfType(Object, Type)									Verifies that the specified object is not an instance of the specified type. The assertion fails if the type is found in the inheritance hierarchy of the object.
IsNotInstanceOfType(Object, Type, String)							Verifies that the specified object is not an instance of the specified type. The assertion fails if the type is found in the inheritance hierarchy of the object. Displays a message if the assertion fails.
IsNotInstanceOfType(Object, Type, String, Object[])					Verifies that the specified object is not an instance of the specified type. The assertion fails if the type is found in the inheritance hierarchy of the object. Displays a message if the assertion fails, and applies the specified formatting to it.
IsNotNull(Object)													Verifies that the specified object is not null. The assertion fails if it is null.
IsNotNull(Object, String)											Verifies that the specified object is not null. The assertion fails if it is null. Displays a message if the assertion fails.
IsNotNull(Object, String, Object[])									Verifies that the specified object is not null. The assertion fails if it is null. Displays a message if the assertion fails, and applies the specified formatting to it.
IsNull(Object)														Verifies that the specified object is null. The assertion fails if it is not null.
IsNull(Object, String)												Verifies that the specified object is null. The assertion fails if it is not null. Displays a message if the assertion fails.
IsNull(Object, String, Object[])									Verifies that the specified object is null. The assertion fails if it is not null. Displays a message if the assertion fails, and applies the specified formatting to it.
IsTrue(Boolean)														Verifies that the specified condition is true. The assertion fails if the condition is false.
IsTrue(Boolean, String)												Verifies that the specified condition is true. The assertion fails if the condition is false. Displays a message if the assertion fails.
IsTrue(Boolean, String, Object[])									Verifies that the specified condition is true. The assertion fails if the condition is false. Displays a message if the assertion fails, and applies the specified formatting to it.
ReplaceNullChars													In a string, replaces null characters ('\0') with "\\0".
